"Occupation";"Total_employment"
"Personal Care and Service Workers, All Other";59090
"Power Plant Operators, Distributors, and Dispatchers";58880
"Control and Valve Installers and Repairers";58510
"Miscellaneous Motor Vehicle Operators";58210
"Motor Vehicle Operators, All Other";58210
"Computer Operators";58060
"Brokerage Clerks";57240
"Budget Analysts";57120
"Health Educators";57020
"Public Relations and Fundraising Managers";56920
"Nursing Instructors and Teachers, Postsecondary";56840
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders";55360
"Fundraisers";55230
"Legislators";55020
"Paving, Surfacing, and Tamping Equipment Operators";54940
"Mathematical Science Teachers, Postsecondary";54010
"Dredge, Excavating, and Loading Machine Operators";53590
"Surveyors, Cartographers, and Photogrammetrists";53580
"Natural Sciences Managers";53290
"Environmental Engineers";53240
"Title Examiners, Abstractors, and Searchers";52960
"Insulation Workers";52850
"Biological Science Teachers, Postsecondary";52750
"Orderlies";52420
"New Accounts Clerks";52260
"Photographers";52250
"Physical Sciences Teachers, Postsecondary";51820
"Print Binding and Finishing Workers";51430
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters";51350
"Cardiovascular Technologists and Technicians";51080
"Surveying and Mapping Technicians";50750
"Medical Equipment Preparers";50550
"Pressers, Textile, Garment, and Related Materials";50150
"Painters, Transportation Equipment";49950
"Interpreters and Translators";49460
"Miscellaneous Social Scientists and Related Workers";49170
"Judges, Magistrates, and Other Judicial Workers";48940
"Physical Therapist Aides";48730
"Internists, General";48390
"Technical Writers";48210
"Community Health Workers";47880
"Mechanical Engineering Technicians";47560
"Excavating and Loading Machine and Dragline Operators";47470
"Education Administrators, Preschool and Childcare Center/Program";47150
"Electromechanical Equipment Assemblers";46990
"News Analysts, Reporters and Correspondents";46590
"Clergy";46510
"Credit Authorizers, Checkers, and Clerks";46320
"Sawing Machine Setters, Operators, and Tenders, Wood";46320
"Miscellaneous Food Preparation and Serving Related Workers";45520
"Food Preparation and Serving Related Workers, All Other";45520
"First-Line Supervisors of Correctional Officers";45150
"Legal Support Workers, All Other";45120
"Floral Designers";45050
"Interior Designers";45010
"Crane and Tower Operators";44540
"Forest, Conservation, and Logging Workers";44470
"Baggage Porters and Bellhops";44170
"Locomotive Engineers and Operators";43970
"Engineering and Architecture Teachers, Postsecondary";43840
"Food Processing Workers, All Other";43690
"Writers and Authors";43500
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders";43310
"Transportation Security Screeners";43220
"Railroad Conductors and Yardmasters";42900
"Glaziers";42820
"Television, Video, and Motion Picture Camera Operators and Editors";42770
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic";42570
"Reporters and Correspondents";42280
"Hazardous Materials Removal Workers";42250
"Surveyors";41970
"Law, Criminal Justice, and Social Work Teachers, Postsecondary";41850
"Petroleum Pump System Operators, Refinery Operators, and Gaugers";41700
"Medical Equipment Repairers";41430
"Control and Valve Installers and Repairers, Except Mechanical Door";41290
"Pharmacy Aides";41240
"Pipelayers";41080
"Surgeons";41070
"Healthcare Practitioners and Technical Workers, All Other";40840
"Occupational Therapy Assistants and Aides";40800
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers";40630
"Power Plant Operators";40300
"Miscellaneous Transportation Workers";39890
"Transportation Workers, All Other";39890
"Tree Trimmers and Pruners";39640
"Special Education Teachers, All Other";39620
"Millwrights";39290
"Musicians and Singers";38900
"Helpers--Carpenters";38900
"Conveyor Operators and Tenders";38830
"Real Estate Brokers";38720
"Locomotive Engineers";38470
"Engine and Other Machine Assemblers";38330
"Skincare Specialists";38290
"Tour and Travel Guides";38190
"Commercial Pilots";38170
"Psychology Teachers, Postsecondary";37930
"Announcers";37680
"Logging Workers";37600
"Stationary Engineers and Boiler Operators";37550
"Miscellaneous Financial Clerks";37510
"Financial Clerks, All Other";37510
"Chemical Plant and System Operators";37490
"Food Cooking Machine Operators and Tenders";36850
"Financial Examiners";36830
"Engineering Teachers, Postsecondary";36650
