"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih"
"delovnih mest (originalni podatki) po: MERITVE, SKD DEJAVNOST ,"
"ÈETRTLETJE"

" ";" ";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2"
"Število prostih delovnih mest  - SKUPAJ"
" ";"I GOSTINSTVO";16036;16190;16101;15977;15751;15785;15617;15377;14617;14656;14531;13981;13709;14049;14312;14089;13452;14122
" ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";15242;15082;15117;15157;15213;15417;15302;15403;15145;15146;15146;15279;15372;15268;15161;15235;15562;15610
" ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";19593;19629;19850;19394;19107;19105;18880;18530;18030;17975;17828;17726;17687;17594;17520;17403;18925;18936
" ";"L POSLOVANJE Z NEPREMIÈNINAMI";2047;2044;2007;1987;2031;1994;2007;2003;1906;1909;1848;1845;1877;1849;1861;1858;1806;1798
" ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";19618;20140;19993;19986;20062;19387;19468;19270;19186;19574;19621;19927;19587;19440;18889;18587;17461;17094
" ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";20295;20576;20427;20499;20274;20188;20102;19753;18770;19261;19807;19443;19521;22442;23937;24867;25082;25833
" ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";42118;42394;42428;42265;41897;42223;41917;41433;39776;40001;40044;39821;39576;40030;40021;39644;46584;46826
" ";"P IZOBRAŽEVANJE";57872;57985;57385;58637;58857;58984;57786;58457;57501;57481;56846;57603;57753;57906;57065;57972;60052;60203
" ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";45890;46542;46787;47062;47307;47962;47980;47966;46349;46747;47025;46920;46704;47177;47462;47510;47683;48132
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";8068;8084;8065;8087;8059;8263;8163;8011;7662;7698;7685;7677;7636;7774;7793;7806;7993;8109
" ";"S DRUGE DEJAVNOSTI";2731;2765;2798;2737;2646;2683;2646;2623;2428;2500;2494;2430;2374;2506;2542;2512;2516;2595
"Stopnja prostih delovnih mest (%) - (10+)"
" ";"SKD Dejavnost - SKUPAJ (B do S)";0.6;0.7;0.8;0.6;0.6;0.6;0.7;0.4;0.5;0.6;0.8;0.6;0.8;1.0;1.0;0.8;0.9;0.9
" ";"B RUDARSTVO";0.3;0.3;0.1;0.2;0.1;0.0;0.3;0.1;0.0;0.2;0.2;0.2;0.2;0.7;0.2;0.2;0.0;0.0
